TargetID,Name,Organism
CHEMBL1075429,COLO-792,Homo sapiens
CHEMBL1075430,COLO-824,Homo sapiens
CHEMBL1075431,COR-L105,Homo sapiens
CHEMBL1075432,Detroit 562,Homo sapiens
CHEMBL1075433,DK-MG,Homo sapiens
CHEMBL1075434,DMS-53,Homo sapiens
CHEMBL1075435,DOK,Homo sapiens
CHEMBL1075436,DoTc2-4510,Homo sapiens
CHEMBL1075437,DV-90,Homo sapiens
CHEMBL1075438,EFE-184,Homo sapiens
CHEMBL1075439,EFM-19,Homo sapiens
CHEMBL1075440,EFO-21,Homo sapiens
CHEMBL1075441,EFO-27,Homo sapiens
CHEMBL1075442,EGI-1,Homo sapiens
CHEMBL1075443,EPLC-272H,Homo sapiens
CHEMBL1075444,ESS-1,Homo sapiens
CHEMBL1075445,FTC-133,Homo sapiens
CHEMBL1075446,G-402,Homo sapiens
CHEMBL1075447,GAMG,Homo sapiens
CHEMBL1075448,GCT,Homo sapiens
CHEMBL1075449,GMS-10,Homo sapiens
CHEMBL1075450,GP5d,Homo sapiens
CHEMBL1075451,H-EMC-SS,Homo sapiens
CHEMBL1075452,H4,Homo sapiens
CHEMBL1075453,HCC1143,Homo sapiens
CHEMBL1075454,HCC1395,Homo sapiens
CHEMBL1075455,HCC1419,Homo sapiens
CHEMBL1075456,HCC1569,Homo sapiens
CHEMBL1075457,HCC1806,Homo sapiens
CHEMBL1075458,HCC1937,Homo sapiens
CHEMBL1075459,HCC1954,Homo sapiens
CHEMBL1075460,HCC38,Homo sapiens
CHEMBL1075461,HCC70,Homo sapiens
CHEMBL1075462,HEC-1,Homo sapiens
CHEMBL1075463,HGC-27,Homo sapiens
CHEMBL1075464,HLE,Homo sapiens
CHEMBL1075465,HN,Homo sapiens
CHEMBL1075466,HO-1-N-1,Homo sapiens
CHEMBL1075467,HPAF-II,Homo sapiens
CHEMBL1075468,HSC-2,Homo sapiens
CHEMBL1075469,HSC-4,Homo sapiens
CHEMBL1075470,HT-3,Homo sapiens
CHEMBL1075471,HT55,Homo sapiens
CHEMBL1075472,HTC-C3,Homo sapiens
CHEMBL1075475,HuO-3N1,Homo sapiens
CHEMBL1075476,HuO9,Homo sapiens
CHEMBL1075477,HuP-T3,Homo sapiens
CHEMBL1075478,HuP-T4,Homo sapiens
CHEMBL1075479,IGR-1,Homo sapiens
CHEMBL1075480,IPC-298,Homo sapiens
CHEMBL1075481,KOSC-2,Homo sapiens
CHEMBL1075482,KP-4,Homo sapiens
CHEMBL1075483,KU-19-19,Homo sapiens
CHEMBL1075484,KYSE-140,Homo sapiens
CHEMBL1075485,KYSE-180,Homo sapiens
CHEMBL1075486,KYSE-270,Homo sapiens
CHEMBL1075487,KYSE-410,Homo sapiens
CHEMBL1075488,KYSE-450,Homo sapiens
CHEMBL1075489,LCLC-97TM1,Homo sapiens
CHEMBL1075490,LK-2,Homo sapiens
CHEMBL1075491,LN-405,Homo sapiens
CHEMBL1075492,LU-135,Homo sapiens
CHEMBL1075493,LU-99A,Homo sapiens
CHEMBL1075494,M059J,Homo sapiens
CHEMBL1075495,MC-IXC,Homo sapiens
CHEMBL1075496,MDA-MB-157,Homo sapiens
CHEMBL1075497,MDA-MB-175-VII,Homo sapiens
CHEMBL1075498,MDA-MB-415,Homo sapiens
CHEMBL1075499,ME-180,Homo sapiens
CHEMBL1075500,MEL-HO,Homo sapiens
CHEMBL1075501,MEL-JUSO,Homo sapiens
CHEMBL1075502,MFE-280,Homo sapiens
CHEMBL1075503,MFE-296,Homo sapiens
CHEMBL1075504,MFM-223,Homo sapiens
CHEMBL1075505,MHH-ES-1,Homo sapiens
CHEMBL1075508,MOG-G-UVW,Homo sapiens
CHEMBL1075509,MSTO-211H,Homo sapiens
CHEMBL1075510,NB69,Homo sapiens
CHEMBL1075511,NCCIT,Homo sapiens
CHEMBL1075512,NCI-H1048,Homo sapiens
CHEMBL1075513,NCI-H1437,Homo sapiens
CHEMBL1075514,NCI-H1563,Homo sapiens
CHEMBL1075515,NCI-H1573,Homo sapiens
CHEMBL1075516,NCI-H1581,Homo sapiens
CHEMBL1075517,NCI-H1623,Homo sapiens
CHEMBL1075518,NCI-H1650,Homo sapiens
CHEMBL1075519,NCI-H1651,Homo sapiens
CHEMBL1075520,NCI-H1666,Homo sapiens
CHEMBL1075521,NCI-H1693,Homo sapiens
CHEMBL1075522,NCI-H1703,Homo sapiens
CHEMBL1075523,NCI-H1734,Homo sapiens
CHEMBL1075524,NCI-H1755,Homo sapiens
CHEMBL1075525,NCI-H1792,Homo sapiens
CHEMBL1075526,NCI-H1793,Homo sapiens
CHEMBL1075527,NCI-H1993,Homo sapiens
CHEMBL1075528,NCI-H2009,Homo sapiens
CHEMBL1075529,NCI-H2029,Homo sapiens
CHEMBL1075530,NCI-H2030,Homo sapiens
CHEMBL1075531,NCI-H2052,Homo sapiens
CHEMBL1075532,NCI-H2087,Homo sapiens
CHEMBL1075533,NCI-H2122,Homo sapiens
CHEMBL1075534,NCI-H2170,Homo sapiens
CHEMBL1075535,NCI-H2196,Homo sapiens
CHEMBL1075536,NCI-H2228,Homo sapiens
CHEMBL1075537,NCI-H2342,Homo sapiens
CHEMBL1075538,NCI-H2347,Homo sapiens
CHEMBL1075539,NCI-H2405,Homo sapiens
CHEMBL1075540,NCI-H2452,Homo sapiens
CHEMBL1075541,NCI-H28,Homo sapiens
CHEMBL1075542,NCI-H441,Homo sapiens
CHEMBL1075543,NCI-H650,Homo sapiens
CHEMBL1075544,NCI-H661,Homo sapiens
CHEMBL1075545,NCI-H727,Homo sapiens
CHEMBL1075546,NCI-H810,Homo sapiens
CHEMBL1075547,NCI-H838,Homo sapiens
CHEMBL1075551,NH-6,Homo sapiens
CHEMBL1075552,NY,Homo sapiens
CHEMBL1075553,OAW-28,Homo sapiens
CHEMBL1075554,OAW-42,Homo sapiens
CHEMBL1075555,OE19,Homo sapiens
CHEMBL1075556,OE33,Homo sapiens
CHEMBL1075557,PANC-03-27,Homo sapiens
CHEMBL1075558,PANC-08-13,Homo sapiens
CHEMBL1075560,PFSK-1,Homo sapiens
CHEMBL1075561,PLC-PRF-5,Homo sapiens
CHEMBL1075562,RCM-1,Homo sapiens
CHEMBL1075563,RERF-LC-MS,Homo sapiens
CHEMBL1075564,RMG-I,Homo sapiens
CHEMBL1075565,RO82-W-1,Homo sapiens
CHEMBL1075566,RPMI-2650,Homo sapiens
CHEMBL1075567,RVH-421,Homo sapiens
CHEMBL1075568,S-117,Homo sapiens
CHEMBL1075569,SAS,Homo sapiens
CHEMBL1075570,SCC-4,Homo sapiens
CHEMBL1075571,SCC-9,Homo sapiens
CHEMBL1075572,SCCH-26,Homo sapiens
CHEMBL1075573,SCH,Homo sapiens
CHEMBL1075574,SCLC-21H,Homo sapiens
CHEMBL1075575,SJRH30,Homo sapiens
CHEMBL1075576,SK-CO-1,Homo sapiens
CHEMBL1075577,SK-MEL-30,Homo sapiens
CHEMBL1075578,SK-N-AS,Homo sapiens
CHEMBL1075579,SK-N-DZ,Homo sapiens
CHEMBL1075580,SK-NEP-1,Homo sapiens
CHEMBL1075581,SKG-IIIa,Homo sapiens
CHEMBL1075582,SNG-M,Homo sapiens
CHEMBL1075583,SNU-387,Homo sapiens
CHEMBL1075584,SNU-423,Homo sapiens
CHEMBL1075585,SNU-449,Homo sapiens
CHEMBL1075586,SNU-475,Homo sapiens
CHEMBL1075587,SW13,Homo sapiens
CHEMBL1075588,SW1417,Homo sapiens
CHEMBL1075589,SW1463,Homo sapiens
CHEMBL1075590,SW1710,Homo sapiens
CHEMBL1075591,SW1783,Homo sapiens
CHEMBL1075592,SW1990,Homo sapiens
CHEMBL1075593,SW626,Homo sapiens
CHEMBL1075594,SW756,Homo sapiens
CHEMBL1075595,SW780,Homo sapiens
CHEMBL1075596,SW837,Homo sapiens
CHEMBL1075597,SW900,Homo sapiens
CHEMBL1075598,SW948,Homo sapiens
CHEMBL1075599,TCO-1,Homo sapiens
CHEMBL1075600,TGW,Homo sapiens
CHEMBL1075601,TYK-nu,Homo sapiens
CHEMBL1075602,U-118-MG,Homo sapiens
CHEMBL1075604,UACC-812,Homo sapiens
CHEMBL1075605,UACC-893,Homo sapiens
CHEMBL1075606,UMC-11,Homo sapiens
CHEMBL1075607,VM-CUB-1,Homo sapiens
CHEMBL1075608,VMRC-LCP,Homo sapiens
CHEMBL1075609,VMRC-MELG,Homo sapiens
CHEMBL1075610,VMRC-RCZ,Homo sapiens
CHEMBL1075611,WM-115,Homo sapiens
CHEMBL1075612,YKG-1,Homo sapiens
CHEMBL1075613,ZR-75-30,Homo sapiens
CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,Homo sapiens
CHEMBL1163104,Serine/threonine-protein kinase OSR1,Homo sapiens
CHEMBL1163106,Serine/threonine-protein kinase MAK,Homo sapiens
CHEMBL1163108,STE20/SPS1-related proline-alanine-rich protein kinase,Homo sapiens
CHEMBL1163112,Cyclin-dependent kinase-like 5,Homo sapiens
CHEMBL1163117,Cyclin-dependent kinase-like 3,Homo sapiens
CHEMBL1163120,Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit gamma,Homo sapiens
CHEMBL1163123,Mitogen-activated protein kinase kinase kinase 6,Homo sapiens
CHEMBL1163124,Mitogen-activated protein kinase kinase kinase 13,Homo sapiens
CHEMBL1163125,Bromodomain-containing protein 4,Homo sapiens
CHEMBL1163126,Serine/threonine-protein kinase ICK,Homo sapiens
CHEMBL1163127,Mitogen-activated protein kinase kinase kinase 15,Homo sapiens
CHEMBL1163128,Microtubule-associated serine/threonine-protein kinase 1,Homo sapiens
CHEMBL1163129,Serine/threonine-protein kinase SBK1,Homo sapiens
CHEMBL1169596,Serine/threonine-protein kinase A-Raf,Homo sapiens
CHEMBL1250375,NADPH oxidase 4,Homo sapiens
CHEMBL1250379,ELAV-like protein 1,Homo sapiens
CHEMBL1250411,Short transient receptor potential channel 5,Homo sapiens
CHEMBL1250415,Beta-hexosaminidase subunit alpha,Homo sapiens
CHEMBL1275209,PH domain leucine-rich repeat-containing protein phosphatase 2,Homo sapiens
CHEMBL1275223,Heat shock cognate 71 kDa protein,Homo sapiens
CHEMBL1287617,UDP-glucuronosyltransferase 1-1,Homo sapiens
CHEMBL1293191,Transcriptional regulator ERG,Homo sapiens
CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens
CHEMBL1293199,Serine/threonine-protein kinase VRK1,Homo sapiens
CHEMBL1293224,Microtubule-associated protein tau,Homo sapiens
CHEMBL1293227,Ubiquitin carboxyl-terminal hydrolase 2,Homo sapiens
CHEMBL1293229,Nuclear receptor subfamily 4 group A member 1,Homo sapiens
CHEMBL1293232,Survival motor neuron protein,Homo sapiens
CHEMBL1293235,Prelamin-A/C,Homo sapiens
CHEMBL1293236,ATP-dependent DNA helicase Q1,Homo sapiens
CHEMBL1293237,Bloom syndrome protein,Homo sapiens
CHEMBL1293255,15-hydroxyprostaglandin dehydrogenase [NAD+],Homo sapiens
CHEMBL1293256,Thrombopoietin,Homo sapiens
CHEMBL1293257,Galactokinase,Homo sapiens
CHEMBL1293267,G-protein coupled receptor 35,Homo sapiens
CHEMBL1293278,Geminin,Homo sapiens
CHEMBL1293289,Bromodomain-containing protein 2,Homo sapiens
CHEMBL1293294,Ras-related protein Rab-9A,Homo sapiens
CHEMBL1293298,Peripheral myelin protein 22,Homo sapiens
CHEMBL1293317,Muscleblind-like protein 1,Homo sapiens
CHEMBL1615382,Nuclear receptor coactivator 3,Homo sapiens
CHEMBL1615387,Nuclear receptor coactivator 1,Homo sapiens
CHEMBL1626502,PPC-1,Homo sapiens
CHEMBL1628470,Transient receptor potential cation channel subfamily M member 6,Homo sapiens
CHEMBL1628477,Amiloride-sensitive cation channel 2, neuronal,Homo sapiens
CHEMBL1628483,Amiloride-sensitive sodium channel subunit beta,Homo sapiens
CHEMBL1628484,Amiloride-sensitive sodium channel subunit gamma,Homo sapiens
CHEMBL1641347,Solute carrier family 22 member 6,Homo sapiens
CHEMBL1641348,Solute carrier family 22 member 8,Homo sapiens
CHEMBL1649059,Serine/threonine-protein kinase VRK2,Homo sapiens
CHEMBL1697668,Solute carrier organic anion transporter family member 1B1,Homo sapiens
CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens
CHEMBL1741190,GTP-binding nuclear protein Ran,Homo sapiens
CHEMBL1741193,Chromobox protein homolog 1,Homo sapiens
CHEMBL1741195,Enteropeptidase,Homo sapiens
CHEMBL1741209,ATPase family AAA domain-containing protein 5,Homo sapiens
CHEMBL1741210,M-phase phosphoprotein 8,Homo sapiens
CHEMBL1743121,Solute carrier organic anion transporter family member 1B3,Homo sapiens
CHEMBL1743122,Solute carrier family 22 member 2,Homo sapiens
CHEMBL1743123,Solute carrier organic anion transporter family member 1A2,Homo sapiens
CHEMBL1743124,Solute carrier organic anion transporter family member 2B1,Homo sapiens
CHEMBL1743125,Solute carrier family 15 member 2,Homo sapiens
CHEMBL1743126,Multidrug and toxin extrusion protein 1,Homo sapiens
CHEMBL1743127,Multidrug and toxin extrusion protein 2,Homo sapiens
CHEMBL1743128,Multidrug resistance-associated protein 4,Homo sapiens
CHEMBL1743291,Sulfotransferase 1A1,Homo sapiens
CHEMBL1743296,Sulfotransferase 1C4,Homo sapiens
CHEMBL1743298,Sulfotransferase 4A1,Homo sapiens
CHEMBL1743316,UDP-glucuronosyltransferase 1-6,Homo sapiens
CHEMBL1743317,UDP-glucuronosyltransferase 1-7,Homo sapiens
CHEMBL1743318,UDP-glucuronosyltransferase 1-8,Homo sapiens
CHEMBL1743319,UDP-glucuronosyltransferase 1-9,Homo sapiens
CHEMBL1743320,UDP-glucuronosyltransferase 1-10,Homo sapiens
CHEMBL1743321,UDP-glucuronosyltransferase 2A1,Homo sapiens
CHEMBL1764937,Membrane-associated phosphatidylinositol transfer protein 1,Homo sapiens
CHEMBL1770034,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,Homo sapiens
CHEMBL1772927,Serine hydroxymethyltransferase, cytosolic,Homo sapiens
CHEMBL1772932,Mitotic checkpoint serine/threonine-protein kinase BUB1,Homo sapiens
CHEMBL1781865,78 kDa glucose-regulated protein,Homo sapiens
CHEMBL1783,Vascular endothelial growth factor A,Homo sapiens
CHEMBL1791,Amiloride-sensitive sodium channel alpha-subunit,Homo sapiens
CHEMBL1792,Somatostatin receptor 5,Homo sapiens
CHEMBL1795085,Ataxin-2,Homo sapiens
CHEMBL1795087,Ubiquitin carboxyl-terminal hydrolase 1,Homo sapiens
CHEMBL1795091,Regulator of G-protein signaling 4,Homo sapiens
CHEMBL1795094,Nuclear receptor subfamily 0 group B member 1,Homo sapiens
CHEMBL1795117,Histone-lysine N-methyltransferase, H3 lysine-79 specific,Homo sapiens
CHEMBL1795150,Adenosine deaminase-like protein,Homo sapiens
CHEMBL1795165,Hormonally up-regulated neu tumor-associated kinase,Homo sapiens
CHEMBL1795168,CDGSH iron-sulfur domain-containing protein 1,Homo sapiens
CHEMBL1795185,Bromodomain testis-specific protein,Homo sapiens
CHEMBL1795186,Bromodomain-containing protein 3,Homo sapiens
CHEMBL1795188,Proton-coupled folate transporter,Homo sapiens
CHEMBL1795191,Cyclin-dependent kinase 10,Homo sapiens
CHEMBL1795192,Cyclin-dependent kinase 13,Homo sapiens
CHEMBL1795194,Phosphatidylinositol-5-phosphate 4-kinase type-2 alpha,Homo sapiens
CHEMBL1795198,STE20-related kinase adapter protein alpha,Homo sapiens
CHEMBL1795199,Receptor-interacting serine/threonine-protein kinase 3,Homo sapiens
CHEMBL1798,Cysteinyl leukotriene receptor 1,Homo sapiens
CHEMBL1801,Plasminogen,Homo sapiens
CHEMBL1803,Leukocyte adhesion glycoprotein LFA-1 alpha,Homo sapiens
CHEMBL1804,Somatostatin receptor 2,Homo sapiens
CHEMBL1805,Serotonin 1f (5-HT1f) receptor,Homo sapiens
CHEMBL1806,DNA topoisomerase II alpha,Homo sapiens
CHEMBL1808,Angiotensin-converting enzyme,Homo sapiens
CHEMBL1812,Pancreatic lipase,Homo sapiens
CHEMBL1821,Muscarinic acetylcholine receptor M4,Homo sapiens
CHEMBL1822,Inosine-5'-monophosphate dehydrogenase 1,Homo sapiens
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,Homo sapiens
CHEMBL1825,TNF-alpha,Homo sapiens
CHEMBL1827,Phosphodiesterase 5A,Homo sapiens
CHEMBL1828,DNA polymerase alpha subunit,Homo sapiens
CHEMBL1829,Histone deacetylase 3,Homo sapiens
CHEMBL1832,Calcitonin receptor,Homo sapiens
CHEMBL1835,Thromboxane-A synthase,Homo sapiens
CHEMBL1841,Tyrosine-protein kinase FYN,Homo sapiens
CHEMBL1844,Macrophage colony stimulating factor receptor,Homo sapiens
CHEMBL1850,Dopamine D5 receptor,Homo sapiens
CHEMBL1853,Somatostatin receptor 4,Homo sapiens
CHEMBL1859,Voltage-gated T-type calcium channel alpha-1H subunit,Homo sapiens
CHEMBL1860,Thyroid hormone receptor alpha,Homo sapiens
CHEMBL1862,Tyrosine-protein kinase ABL,Homo sapiens
CHEMBL1865,Histone deacetylase 6,Homo sapiens
CHEMBL1867,Alpha-2a adrenergic receptor,Homo sapiens
CHEMBL1868,Vascular endothelial growth factor receptor 1,Homo sapiens
CHEMBL1869,Ornithine decarboxylase,Homo sapiens
CHEMBL1871,Androgen Receptor,Homo sapiens
CHEMBL1873,Tissue-type plasminogen activator,Homo sapiens
CHEMBL1882,Neuronal acetylcholine receptor protein alpha-4 subunit,Homo sapiens
CHEMBL1889,Vasopressin V1a receptor,Homo sapiens
CHEMBL1899,Serotonin 3a (5-HT3a) receptor,Homo sapiens
CHEMBL1900,Aldose reductase,Homo sapiens
CHEMBL1906,Serine/threonine-protein kinase RAF,Homo sapiens
CHEMBL1907600,Cyclin-dependent kinase 5/CDK5 activator 1,Homo sapiens
CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,Homo sapiens
CHEMBL1907602,Cyclin-dependent kinase 1/cyclin B1,Homo sapiens
CHEMBL1907605,Cyclin-dependent kinase 2/cyclin E1,Homo sapiens
CHEMBL1907606,Mitogen-activated protein kinase; ERK1/ERK2,Homo sapiens
CHEMBL1908381,Peripheral plasma membrane protein CASK,Homo sapiens
CHEMBL1908382,Serine/threonine-protein kinase PRP4 homolog,Homo sapiens
CHEMBL1908383,Phosphatidylinositol-4-phosphate 5-kinase type-1 gamma,Homo sapiens
CHEMBL1908384,SNF-related serine/threonine-protein kinase,Homo sapiens
CHEMBL1908386,Dual serine/threonine and tyrosine protein kinase,Homo sapiens
CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Homo sapiens
CHEMBL1909241,SN12K1,Homo sapiens
CHEMBL1909482,14-3-3 protein sigma,Homo sapiens
CHEMBL1910,Adenosine deaminase,Homo sapiens
CHEMBL1913,Platelet-derived growth factor receptor beta,Homo sapiens
CHEMBL1914279,Proton-coupled amino acid transporter 1,Homo sapiens
CHEMBL1916,Alpha-2c adrenergic receptor,Homo sapiens
CHEMBL1929,Xanthine dehydrogenase,Homo sapiens
CHEMBL1932912,Histone acetyltransferase KAT8,Homo sapiens
CHEMBL1935,Aldehyde dehydrogenase,Homo sapiens
CHEMBL1936,Stem cell growth factor receptor,Homo sapiens
CHEMBL1937,Histone deacetylase 2,Homo sapiens
CHEMBL1938217,Mixed lineage kinase domain-like protein,Homo sapiens
CHEMBL1938223,TP53-regulating kinase,Homo sapiens
CHEMBL1940,Voltage-gated L-type calcium channel alpha-1C subunit,Homo sapiens
CHEMBL1941,Histamine H2 receptor,Homo sapiens
CHEMBL1942,Alpha-2b adrenergic receptor,Homo sapiens
CHEMBL1944,Neprilysin,Homo sapiens
CHEMBL1944495,Proteasome subunit beta type-9,Homo sapiens
CHEMBL1944496,Proteasome subunit beta type-6,Homo sapiens
CHEMBL1947,Thyroid hormone receptor beta-1,Homo sapiens
CHEMBL1950,Antithrombin-III,Homo sapiens
CHEMBL1951,Monoamine oxidase A,Homo sapiens
CHEMBL1952,Thymidylate synthase,Homo sapiens
CHEMBL1955,Vascular endothelial growth factor receptor 3,Homo sapiens
CHEMBL1955711,Solute carrier family 22 member 7,Homo sapiens
CHEMBL1957,Insulin-like growth factor I receptor,Homo sapiens
CHEMBL1961788,Nuclear receptor subfamily 2 group E member 1,Homo sapiens
CHEMBL1962,GABA receptor alpha-1 subunit,Homo sapiens
CHEMBL1963,Thyroid stimulating hormone receptor,Homo sapiens
CHEMBL1964,Voltage-gated potassium channel subunit Kv4.3,Homo sapiens
CHEMBL1971,Sulfonylurea receptor 2,Homo sapiens
CHEMBL1973,Tyrosinase,Homo sapiens
CHEMBL1974,Tyrosine-protein kinase receptor FLT3,Homo sapiens
CHEMBL1977,Vitamin D receptor,Homo sapiens
CHEMBL1980,Sodium channel protein type V alpha subunit,Homo sapiens
CHEMBL1981,Insulin receptor,Homo sapiens
CHEMBL1991,Inhibitor of nuclear factor kappa B kinase beta subunit,Homo sapiens
CHEMBL1993,DNA (cytosine-5)-methyltransferase 1,Homo sapiens
CHEMBL1994,Mineralocorticoid receptor,Homo sapiens
CHEMBL1997,Equilibrative nucleoside transporter 1,Homo sapiens
CHEMBL2000,Plasma kallikrein,Homo sapiens
CHEMBL2002,Inosine-5'-monophosphate dehydrogenase 2,Homo sapiens
CHEMBL2007,Platelet-derived growth factor receptor alpha,Homo sapiens
CHEMBL2010627,Pirin,Homo sapiens
CHEMBL2010634,ATP-dependent RNA helicase DDX1,Homo sapiens
CHEMBL2016,Coagulation factor IX,Homo sapiens
CHEMBL202,Dihydrofolate reductase,Homo sapiens
CHEMBL2028,Somatostatin receptor 3,Homo sapiens
CHEMBL2029197,Rap guanine nucleotide exchange factor 3,Homo sapiens
CHEMBL203,Epidermal growth factor receptor erbB1,Homo sapiens
CHEMBL2034,Glucocorticoid receptor,Homo sapiens
CHEMBL2035,Muscarinic acetylcholine receptor M5,Homo sapiens
CHEMBL2039,Monoamine oxidase B,Homo sapiens
CHEMBL204,Thrombin,Homo sapiens
CHEMBL2041,Tyrosine-protein kinase receptor RET,Homo sapiens
CHEMBL2044,Gamma-amino-N-butyrate transaminase,Homo sapiens
CHEMBL2046258,Multidrug resistance-associated protein 5,Homo sapiens
CHEMBL2049,Oxytocin receptor,Homo sapiens
CHEMBL205,Carbonic anhydrase II,Homo sapiens
CHEMBL206,Estrogen receptor alpha,Homo sapiens
CHEMBL2062349,RuvB-like 2,Homo sapiens
CHEMBL2063,Ceramide glucosyltransferase,Homo sapiens
CHEMBL2064,GABA-B receptor 1,Homo sapiens
CHEMBL2066,Troponin C,Homo sapiens
CHEMBL2068,Ephrin type-A receptor 2,Homo sapiens
CHEMBL2069156,Kelch-like ECH-associated protein 1,Homo sapiens
CHEMBL2069163,Dual specificity testis-specific protein kinase 2,Homo sapiens
CHEMBL2069164,Lysine-specific demethylase 6A,Homo sapiens
CHEMBL2073,Tyrosine-protein kinase YES,Homo sapiens
CHEMBL2073669,Multidrug resistance associated protein,Homo sapiens
CHEMBL2073673,Solute carrier family 22 member 3,Homo sapiens
CHEMBL2073677,Solute carrier family 22 member 11,Homo sapiens
CHEMBL2073685,Solute carrier organic anion transporter family member 3A1,Homo sapiens
CHEMBL2073687,Multidrug resistance-associated protein 7,Homo sapiens
CHEMBL2073693,Solute carrier family 22 member 5,Homo sapiens
CHEMBL2073697,Solute carrier organic anion transporter family member 1C1,Homo sapiens
CHEMBL2073702,ATP-binding cassette sub-family C member 11,Homo sapiens
CHEMBL2073719,SLC16A10 protein,Homo sapiens
CHEMBL2074,Maltase-glucoamylase,Homo sapiens
CHEMBL2077,Alcohol sulfotransferase,Homo sapiens
CHEMBL2079849,Serine protease hepsin,Homo sapiens
CHEMBL2079850,Protein prune homolog,Homo sapiens
CHEMBL208,Progesterone receptor,Homo sapiens
CHEMBL2083,Fatty acid binding protein adipocyte,Homo sapiens
CHEMBL2085,Macrophage migration inhibitory factor,Homo sapiens
CHEMBL209,Trypsin I,Homo sapiens
CHEMBL2093861,Menin/Histone-lysine N-methyltransferase MLL,Homo sapiens
CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta,Homo sapiens
CHEMBL2093863,Phosphodiesterase 4,Homo sapiens
CHEMBL2093865,Histone deacetylase,Homo sapiens
CHEMBL2093866,Estrogen receptor,Homo sapiens
CHEMBL2093867,Protein kinase C (PKC),Homo sapiens
CHEMBL2093872,GABA-A receptor; anion channel,Homo sapiens
CHEMBL2094109,Muscarinic acetylcholine receptor,Homo sapiens
